beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,SelectedTargetView,TargetView_mode,AnchorCounts_mode,AnchorCounts_mean
26,300000,0.159577874342471,0,0.394610939648847,0,0.216535433070866,0,0.106597341741516,0,0.109287582631103,0,0.104041926888969,0,0.101450332888609,0,7.72488343551771,0,78.4195438,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,600000,0.158911360146372,0,0.394555711955308,0,0.21607475414121,0,0.10633119817369,0,0.108792381945337,0,0.103986377251115,0,0.101171975489017,0,7.72135714548609,0,78.2270894,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,1000000,0.164067043486784,0,0.397806167273178,0,0.220390760283595,0,0.10884668204797,0,0.111760293576929,0,0.106096027437449,0,0.103721007223999,0,7.72734182712833,0,77.8120037,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
28,20000,0.178289280230013,0,0.425653085444315,0,0.239082562812429,0,0.128238963589783,0,0.132282480317291,0,0.124447693726635,0,0.12324682953658,0,7.73713816030211,0,78.1108984,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,30000,0.179668049792531,0,0.423417597418282,0,0.239481164439507,0,0.127963161197093,0,0.131885115537909,0,0.124278572708768,0,0.122966273203827,0,7.73582411307728,0,78.0301436,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,50000,0.172878753226386,0,0.419998789219069,0,0.234021629039109,0,0.123443238014073,0,0.127368330312095,0,0.119770981349064,0,0.11842505379235,0,7.73763676480559,0,78.86772,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,80000,0.179109354069331,0,0.42271383588652,0,0.239840559349169,0,0.126551707760512,0,0.131320587009076,0,0.122137076002302,0,0.121580332546498,0,7.7471429975834,0,78.2368391,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,120000,0.179566765772536,0,0.424610275386443,0,0.241069036494919,0,0.12701205655128,0,0.132083515012425,0,0.122331463380319,0,0.122052931567508,0,7.74977646778251,0,78.5579843,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,200000,0.178710752442252,0,0.423017777829071,0,0.239370078740157,0,0.126965479541525,0,0.131727663210594,0,0.122549299394734,0,0.121995722760119,0,7.74628149813201,0,78.0408999,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,300000,0.177763256771327,0,0.422283649257699,0,0.23859574607116,0,0.125598825678362,0,0.130011683830873,0,0.121486730798384,0,0.120609390248774,0,7.74239729977664,0,78.7906561,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,600000,0.171107916489692,0,0.417825535793469,0,0.231793380599209,0,0.121959363512995,0,0.125666180272777,0,0.118488068279521,0,0.116927176060283,0,7.73651093391668,0,77.5291721,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
28,1000000,0.173662887574738,0,0.419112841215942,0,0.234488842421668,0,0.123610222540924,0,0.12732680005024,0,0.12012612821569,0,0.118586061817026,0,7.73530627709588,0,77.2867375,0,51,0,147716912,0,1,1,"53,70,45,79","53,70,45,79"
30,20000,0.180367236253145,0,0.418092093420215,0,0.234867840690038,0,0.120164131351997,0,0.125632129111959,0,0.115174721424746,0,0.115195080505374,0,7.76151401350372,0,79.3545009,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,30000,0.179184500277714,0,0.41885877451126,0,0.233701440846865,0,0.121906498619112,0,0.12641722222934,0,0.117722479389739,0,0.116906517537257,0,7.74925584645036,0,78.170333,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,50000,0.178321952494527,0,0.417535630289475,0,0.233293037540432,0,0.119990613374772,0,0.125236481551405,0,0.115191953445913,0,0.115012267015849,0,7.76107509796433,0,79.2223117,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,80000,0.175218087365635,0,0.414041070956571,0,0.230659653020551,0,0.116423125296845,0,0.121142550589318,0,0.112076738480085,0,0.111408658432067,0,7.75489811843314,0,78.6020484,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,120000,0.177720782827458,0,0.41612998649204,0,0.23148299408632,0,0.11761274862173,0,0.122564086334599,0,0.113059545358206,0,0.112612559065872,0,7.75772871300967,0,78.1025736,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,200000,0.176871303950077,0,0.414670780170067,0,0.231724768843729,0,0.116733922510785,0,0.121711380079302,0,0.112172823357605,0,0.111732033128619,0,7.75859062186501,0,78.2040145,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,300000,0.180739700068612,0,0.416494338362488,0,0.235305649034535,0,0.117138092776087,0,0.121842360026902,0,0.112803137245778,0,0.112126992195931,0,7.75314828787847,0,78.5878229,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,600000,0.177051001404907,0,0.415669330253301,0,0.231283693272781,0,0.117840580821814,0,0.122542761175664,0,0.113508486770425,0,0.112830913567747,0,7.75125001417544,0,79.1621846,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
